created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Oct 22 19:24:49 +0000 2023;1716173781369077893;"#BeautyInside #KDrama";0;0;0;0;qht;20286111;1716173781369077893;darealTinaT;https://twitter.com/darealTinaT/status/1716173781369077893
Sat Oct 14 21:05:10 +0000 2023;1713299934966095999;"#jichangwook in #lovestruckinthecity is the beauty 🫰 #kdrama https://t.co/REKhgpZ01Q";0;0;0;3;en;1271103147469991940;1713299934966095999;tam_anna_tweets;https://twitter.com/tam_anna_tweets/status/1713299934966095999
Sun Oct 15 00:01:49 +0000 2023;1713344390834663685;"I can't help taking a bunch of ss whenever i see their handsome face 🥹🫰 Life of a #kdrama lover 🥺💙 In photo : #jichangwook from #lovestruckinthecity with #kimjiwon https://t.co/6haIahdLZq";0;0;0;2;en;1271103147469991940;1713344390834663685;tam_anna_tweets;https://twitter.com/tam_anna_tweets/status/1713344390834663685
Sun Oct 15 00:06:16 +0000 2023;1713345508402704699;"Loved every second of this #kdrama. Though the character of #kimjiwon pissed me of sometimes. #jichangwook slayed https://t.co/f9KDDxrjXn";0;0;0;4;en;1271103147469991940;1713345508402704699;tam_anna_tweets;https://twitter.com/tam_anna_tweets/status/1713345508402704699
Fri Oct 13 23:35:34 +0000 2023;1712975395073716564;"Can't take my eyes of him 🥹💙 #JiChangWook #hallyu #kdrama https://t.co/8n9MYDwaFb";0;0;0;0;en;1271103147469991940;1712975395073716564;tam_anna_tweets;https://twitter.com/tam_anna_tweets/status/1712975395073716564
Thu Oct 12 14:59:25 +0000 2023;1712483113883111623;"#LoveStruckInTheCity This entire drama is making my heart flutter 🥹💙 #JiChangWook #kdrama #KimJiWon https://t.co/8SK9sFtpTl";0;0;0;4;en;1271103147469991940;1712483113883111623;tam_anna_tweets;https://twitter.com/tam_anna_tweets/status/1712483113883111623
Fri Sep 29 23:25:06 +0000 2023;1707899332337254893;"#kdrama #tweets #dramakorean #fypシ #explorepage #dramalovers https://t.co/LuWlNi8GCt";0;0;0;0;qme;1598237089916751877;1707899332337254893;bb9029564;https://twitter.com/bb9029564/status/1707899332337254893
Wed Sep 27 05:25:34 +0000 2023;1706902883181142080;"Trending now: #LEEJUNHO 7.2 K + #KingTheLand 2.3 K + #LimYoonA + tweets of love &amp  appreciation for these two big stars of #KDrama &amp  #Kpop , their individual projects &amp  the best rom-com of 2023 ! Please keep tweeting your ❤️ to them &amp  see #Its_2PM &amp  #JUNHO_THE_MOMENT2023 !! ❤️👑! https://t.co/C4F3FCZmpT";1;0;10;46;en;286208037;1706902883181142080;audreyandray;https://twitter.com/audreyandray/status/1706902883181142080
Wed Sep 20 15:39:53 +0000 2023;1704520763070623932;"My mutual must have been so much annoyed by my ‘Personal Taste’ tweets 🫣 but what to do ? I’m to much into them and I can’t stop myself from watching and tweeting about them 🫢  #personaltaste #kdrama #leeminho #sonyejin #jeonjinho #parkgaein https://t.co/NDGgeZd7fZ";1;1;1;10;en;1692897136600563713;1704520763070623932;AvChahat_;https://twitter.com/AvChahat_/status/1704520763070623932
Wed Sep 13 20:33:20 +0000 2023;1702057900662047025;"FR  #MrQueen #kdrama https://t.co/VDciQLR3vk";0;0;0;5;und;1271103147469991940;1702057900662047025;tam_anna_tweets;https://twitter.com/tam_anna_tweets/status/1702057900662047025
